KenPomRk,Team,NetRTG,Luck,SoS
1,Kansas ,30.23,0.04,12.66
2,Gonzaga ,26.95,0.05,2.42
3,Baylor ,25.49,0.016,10.2
4,Dayton ,24.93,0.002,2.74
5,Duke ,24.62,-0.009,7.28
6,San Diego St. ,24.48,-0.008,2.98
7,Michigan St. ,24.03,-0.012,12.04
8,Ohio St. ,22.23,-0.038,11.1
9,Louisville ,21.36,-0.003,7.1
10,West Virginia ,21.26,-0.028,11.28
11,Maryland ,21.12,0.037,11.35
12,Creighton ,20.93,0.072,10.72
13,BYU ,20.68,-0.028,6.06
14,Houston ,20.39,-0.052,6.33
15,Florida St. ,20.22,0.065,7.96
16,Michigan ,20.12,-0.048,12.79
17,Oregon ,20,0.023,8.15
18,Villanova ,19.98,0.082,10.88
19,Arizona ,19.6,-0.077,7.72
20,Seton Hall ,19.54,0.006,11.48
21,Texas Tech ,19.28,-0.113,8.74
22,Wisconsin ,18.95,0.031,11.74
23,Iowa ,18.65,0.005,12.28
24,Purdue,18.57,-0.104,12.19
25,Butler ,18.39,0.032,10.22
26,Penn St. ,17.91,0.014,10.72
27,Minnesota,17.83,-0.13,12.38
28,Rutgers ,17.72,-0.042,9.88
29,Kentucky ,17.6,0.018,6.37
30,Illinois ,17.23,0.022,10.38
31,Marquette ,17.19,-0.046,10.78
32,Florida ,16.79,-0.047,8.82
33,Auburn ,15.91,0.103,6.7
34,Indiana ,15.73,0.016,10.71
35,Colorado ,15.71,-0.01,7.42
36,Oklahoma ,15.7,0.031,12.22
37,LSU ,15.62,-0.02,7.18
38,Saint Mary's ,15.19,0.055,4.46
39,Wichita St. ,15.19,0.041,4.78
40,Providence ,15,-0.008,8.85
41,Utah St. ,14.92,0.034,3.09
42,Virginia ,14.22,0.109,6.93
43,Stanford,14.11,-0.08,4.97
44,Cincinnati ,14.02,-0.013,6.52
45,Xavier,13.9,-0.013,9.93
46,Richmond ,13.87,0.044,1.86
47,Arkansas,13.59,-0.047,6.53
48,Mississippi St.,13.57,-0.001,6.27
49,Northern Iowa,13.43,0.019,0.97
50,North Carolina St.,13.39,-0.02,7.04
51,Syracuse,13.28,-0.06,6.7
52,Connecticut,12.97,-0.077,4.52
53,Oklahoma St.,12.73,0.034,11.31
54,Washington,12.67,-0.157,7.6
55,USC ,12.35,0.083,6.32
56,East Tennessee St. ,12.23,0.067,-1.96
57,Notre Dame,12.09,-0.021,5.02
58,Yale ,11.57,-0.026,0.22
59,Memphis,11.53,0.025,4.81
60,Alabama,11.5,-0.076,7.83
61,Texas,11.46,0.089,10.04
62,Saint Louis,11.41,0.026,1.83
63,Arizona St. ,11.3,0.069,8.22
64,Georgia Tech,11.26,-0.006,9.42
65,Rhode Island,11.06,0.068,4.64
66,St. John's,10.92,-0.037,8.27
67,Georgetown,10.82,-0.049,10.86
68,Tennessee,10.8,-0.02,8.11
69,South Carolina,10.66,-0.023,6.1
70,Davidson,10.62,-0.094,3.66
71,Louisiana Tech,10.47,-0.023,-1.65
72,Clemson,10.42,-0.043,8.15
73,VCU,10.29,-0.064,3.55
74,San Francisco,10.13,-0.006,2.96
75,Northern Colorado,10.12,-0.035,-2.29
76,Vermont ,10.1,-0.027,-5.44
77,North Texas ,9.97,-0.032,1.92
78,UCLA ,9.92,0.047,7.16
79,Liberty ,9.68,0.023,-9
80,Tulsa,9.65,0.076,3.19
81,Furman,9.59,0.041,-0.81
82,Akron ,9.54,0.022,-1.21
83,Boise St.,9.4,0.025,4.28
84,North Carolina,9.36,-0.05,10.39
85,Nevada,9.32,-0.007,2.68
86,TCU,9.31,-0.005,9.71
87,Oregon St.,8.93,-0.002,5.06
88,SMU,8.62,0.004,2.6
89,Iowa St.,8.35,-0.092,11.89
90,Kansas St.,8.25,-0.129,10.83
91,New Mexico St. ,8.14,0.06,-4.86
92,UNC Greensboro,8.12,-0.009,-1.77
93,Texas St.,7.91,-0.05,-0.69
94,DePaul,7.9,0.022,10.11
95,Duquesne,7.58,0.049,0.52
96,Georgia,7.44,-0.017,8.15
97,Missouri,7.44,-0.057,7.22
98,UNLV,7.28,-0.019,3.75
99,Colorado St.,7.15,0.045,2.91
100,Stephen F. Austin ,7,0.042,-8.13
101,Loyola Chicago,6.87,0.006,-0.19
102,Mississippi,6.72,-0.042,6.58
103,Wake Forest,6.7,-0.034,8.52
104,Miami FL,6.39,0.034,9.57
105,Virginia Tech,6.33,-0.04,6.34
106,UC Irvine ,6.11,-0.064,-2.29
107,Bradley ,6.09,0.036,-0.51
108,Hofstra ,6.06,0.064,-4.37
109,Belmont ,6.02,0.012,-7.08
110,Harvard,5.69,0.039,-0.95
111,Pittsburgh,5.65,0.001,7.32
112,North Dakota St. ,5.56,0.032,-3.91
113,Western Kentucky,5.56,0.023,0.85
114,Utah,5.56,0.029,8.33
115,Temple,5.49,-0.052,6.19
116,Ball St.,5.25,-0.089,-2.22
117,UCF,4.88,0.002,3.18
118,Colgate,4.73,0.02,-6.14
119,South Dakota St.,4.72,-0.022,-4.79
120,Pacific,4.7,0.072,-1.29
121,Missouri St.,4.69,-0.083,0.84
122,Indiana St.,4.59,0.043,2.19
123,St. Bonaventure,4.37,0.052,1.24
124,Eastern Washington ,4.32,0.121,-1.53
125,South Florida,4.29,-0.047,4.52
126,Georgia St.,4.29,-0.035,0.56
127,Washington St.,4.22,-0.002,4.53
128,Kent St.,4.06,-0.011,-1.26
129,Little Rock ,3.93,0.069,-0.59
130,UT Arlington,3.87,-0.13,2.34
131,Texas A&M,3.77,0.098,6.1
132,Northwestern,3.61,-0.087,11.64
133,Wright St.,3.47,0.033,-6.8
134,Georgia Southern,3.39,0.005,-0.35
135,Oral Roberts,3.34,-0.103,-0.49
136,Murray St.,3.15,-0.03,-7.75
137,Montana,3.08,0.019,-1.01
138,New Mexico,2.88,0.044,1.5
139,Pepperdine,2.87,0.034,3.22
140,Winthrop ,2.65,-0.044,-8.04
141,Penn,2.63,0.025,0.42
142,Northeastern,2.19,-0.113,-3.51
143,Marshall,2.11,-0.037,-0.16
144,Northern Kentucky ,2.11,0.074,-5.16
145,Siena ,2.06,-0.001,-5.42
146,Valparaiso,2.06,0.02,1.39
147,Chattanooga,1.87,0.025,-1.7
148,Buffalo,1.84,0.045,-0.62
149,FIU,1.58,0.01,-0.82
150,Princeton,1.5,-0.025,-0.66
151,Santa Clara,1.22,0.049,-1.84
152,Toledo,1.14,-0.057,-1.36
153,California,1.1,0.09,8.03
154,Wofford,1.08,-0.019,-1.03
155,South Alabama,1.05,0.063,-1.01
156,Western Carolina,1.04,0.049,-0.93
157,Fresno St.,1.03,-0.117,2.92
158,Towson,0.87,0.014,-2.19
159,Boston University ,0.78,0.002,-4.98
160,UC Santa Barbara,0.76,0.022,-4.63
161,Southern Utah,0.7,-0.063,-1.85
162,Nebraska,0.64,-0.047,11.96
163,Drake,0.62,0.065,0.39
164,Charlotte,0.45,0.008,-1.31
165,Massachusetts,0.43,0.012,4.2
