RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,WinPercentage,PPG,PAPG,KenPomRank,NetRTG,Luck,SoS,Seed,Tournament_Rank
1,Houston,B12,34,30,124.8,88,0.9823,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,34.5,43.1,61.4,11.6,0.882352941,76.6272,54.032,2,36.59,0.02,15.63,1,3
2,Duke,ACC,34,31,128.5,91.3,0.9807,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,45.4,37.9,65.7,9.6,0.911764706,84.4245,59.9841,1,39.29,-0.026,11.51,1,2
3,Auburn,SEC,33,28,129,93.7,0.9756,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,67.8,12.5,0.848484848,87.462,63.5286,4,35.05,0.026,19.63,1,1
4,Florida,SEC,34,30,127.7,94,0.9713,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,43.6,37.3,69.5,11.1,0.882352941,88.7515,65.33,3,36.46,0.032,16.15,1,4
5,Alabama,SEC,33,25,127.6,96.4,0.9621,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,46.2,35.1,74.6,9.8,0.757575758,95.1896,71.9144,6,30.34,0.036,20.14,2,7
6,Tennessee,SEC,34,27,119.3,91.1,0.957,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,43,45.1,63.8,9.3,0.794117647,76.1134,58.1218,5,30.93,0.029,16.8,2,6
7,Texas Tech,B12,33,25,126,96.7,0.9546,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,65.6,5.8,0.757575758,82.656,63.4352,9,27.92,-0.037,12.19,3,12
8,Iowa St.,B12,33,24,118.9,92.3,0.9481,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,68.5,5.4,0.727272727,81.4465,63.2255,11,26.65,-0.051,12.83,3,9
9,Arizona,B12,34,22,123.9,96.5,0.9469,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,69.9,5.4,0.647058824,86.6061,67.4535,13,26.35,-0.048,16.93,4,15
10,Maryland,B10,33,25,117.8,92,0.9449,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,69.8,4.6,0.757575758,82.2244,64.216,10,27.07,-0.028,12.51,4,13
11,Gonzaga,WCC,33,25,123.3,96.4,0.9441,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,33.5,40.6,70.1,2.7,0.757575758,86.4333,67.5764,8,28.01,-0.082,8.09,8,30
12,Wisconsin,B10,35,26,122.4,96.1,0.9418,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,48.1,39.1,67.5,5.9,0.742857143,82.62,64.8675,12,26.57,-0.047,14.53,3,10
13,Michigan St.,B10,33,27,116.8,91.8,0.941,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,32.7,41.4,67.9,7.8,0.818181818,79.3072,62.3322,7,28.48,-0.008,14.72,2,8
14,BYU,B12,33,24,125.4,99.1,0.9377,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,48.3,44.4,67.2,4.8,0.727272727,84.2688,66.5952,26,22.31,0.05,12.66,6,23
